date,strategy_id,market,category,sector_or_index,contribution,cumulative_contribution,portfolio_value_local,portfolio_value_usd_if_applicable,drawdown
2015-01-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,1000.0,990.2194358126707,,0.0
2015-02-28,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,2000.0,2078.9265247713697,,0.0
2015-03-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,3000.0,3018.3132658815216,,0.0
2015-04-30,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,4000.0,4058.024679108599,,0.0
2015-05-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,5000.0,5117.73486015131,,0.0
2015-06-30,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,6000.0,5960.50350211065,,0.0
2015-07-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,7000.0,7108.481346624547,,0.0
2015-08-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,8000.0,7614.4914938537,,0.0
2015-09-30,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,9000.0,8366.460300129836,,0.0
2015-10-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,10000.0,10123.508468848588,,0.0
2015-11-30,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,11000.0,11147.92536557137,,0.0
2015-12-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,12000.0,11858.39913844994,,0.0
2016-01-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,13000.0,12244.716453554662,,0.0
2016-02-29,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,14000.0,13245.835291257037,,0.0
2016-03-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,15000.0,15103.635555792018,,0.0
2016-04-30,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,16000.0,16173.642591652653,,0.0
2016-05-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,17000.0,17472.441073638103,,0.0
2016-06-30,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,18000.0,18444.18693019547,,0.0
2016-07-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,19000.0,20161.569629764203,,0.0
2016-08-31,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,20000.0,21194.531471665858,,0.0
2016-09-30,US_BROAD_INDEX_SPY,US,broad_index,SPY,1000.0,21000.0,22077.62476477945,,0.0
